date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
00:12:46	1110/1110	---M-Z	200	added ('OK')	text/plain	etag:%22a3ada0c4b8b1204d79bc7654e5521191%22	https://www.amazon.co.uk/robots.txt		(from )
00:12:47	1377159/1377159	---MCZ	200	added ('OK')	text/html	date:Thu,%2002%20Apr%202020%2022:12:46%20GMT	https://www.amazon.co.uk/HP-15s-fq0024na-15-6-Inch-Laptop/dp/B083T1XB4B/ref=sr_1_9?dchild=1&keywords=laptop+15.6&qid=1585865478&sr=8-9	C:/Users/Hugo/Desktop/limones/Amaz/www.amazon.co.uk/HP-15s-fq0024na-15-6-Inch-Laptop/dp/B083T1XB4B/ref=sr_1_94a15.html	(from )
00:12:48	16237/16237	---M--	200	added ('OK')	image/png	date:Tue,%2021%20Jan%202020%2000:23:24%20GMT	https://m.media-amazon.com/images/G/01/AUIClients/AmazonUIIcon-sprite_1x-e9434610f810a3a99b3f0e49c1b938c9d76628b8._V2_.png	C:/Users/Hugo/Desktop/limones/Amaz/m.media-amazon.com/images/G/01/AUIClients/AmazonUIIcon-sprite_1x-e9434610f810a3a99b3f0e49c1b938c9d76628b8._V2_.png	(from https://www.amazon.co.uk/HP-15s-fq0024na-15-6-Inch-Laptop/dp/B083T1XB4B/ref=sr_1_9?dchild=1&keywords=laptop+15.6&qid=1585865478&sr=8-9)
00:12:48	92896/92896	---M-Z	200	added ('OK')	application/x-javascript	date:Thu,%2012%20Sep%202019%2021:14:10%20GMT	https://images-eu.ssl-images-amazon.com/images/I/61-6nKPKyWL.js?AUIClients/AmazonUIjQuery	C:/Users/Hugo/Desktop/limones/Amaz/images-eu.ssl-images-amazon.com/images/I/61-6nKPKyWLdce7.js	(from https://www.amazon.co.uk/HP-15s-fq0024na-15-6-Inch-Laptop/dp/B083T1XB4B/ref=sr_1_9?dchild=1&keywords=laptop+15.6&qid=1585865478&sr=8-9)
00:12:48	34240/34240	---M-Z	200	added ('OK')	application/x-javascript	date:Thu,%2012%20Mar%202020%2001:06:40%20GMT	https://images-eu.ssl-images-amazon.com/images/I/51U6oQUnN6L.js?AUIClients/CardJsRuntimeBuzzCopyBuild	C:/Users/Hugo/Desktop/limones/Amaz/images-eu.ssl-images-amazon.com/images/I/51U6oQUnN6L4221.js	(from https://www.amazon.co.uk/HP-15s-fq0024na-15-6-Inch-Laptop/dp/B083T1XB4B/ref=sr_1_9?dchild=1&keywords=laptop+15.6&qid=1585865478&sr=8-9)
00:12:49	11179/11179	---M--	200	added ('OK')	image/png	date:Thu,%2028%20Mar%202019%2018:03:08%20GMT	https://images-eu.ssl-images-amazon.com/images/G/02/gno/sprites/nav-sprite-global_bluebeacon-1x_optimized_layout1._CB468502434_.png	C:/Users/Hugo/Desktop/limones/Amaz/images-eu.ssl-images-amazon.com/images/G/02/gno/sprites/nav-sprite-global_bluebeacon-1x_optimized_layout1._CB468502434_.png	(from https://www.amazon.co.uk/HP-15s-fq0024na-15-6-Inch-Laptop/dp/B083T1XB4B/ref=sr_1_9?dchild=1&keywords=laptop+15.6&qid=1585865478&sr=8-9)
00:12:50	1698/1698	---M--	200	added ('OK')	image/gif	date:Fri,%2028%20May%202010%2022:22:17%20GMT	https://images-eu.ssl-images-amazon.com/images/G/02/javascripts/lib/popover/images/snake._CB485935565_.gif	C:/Users/Hugo/Desktop/limones/Amaz/images-eu.ssl-images-amazon.com/images/G/02/javascripts/lib/popover/images/snake._CB485935565_.gif	(from https://www.amazon.co.uk/HP-15s-fq0024na-15-6-Inch-Laptop/dp/B083T1XB4B/ref=sr_1_9?dchild=1&keywords=laptop+15.6&qid=1585865478&sr=8-9)
00:12:50	2990/2990	---M--	200	added ('OK')	image/png	date:Wed,%2007%20Aug%202019%2020:27:58%20GMT	https://images-eu.ssl-images-amazon.com/images/G/02/gno/sprites/timeline_sprite_1x._CB439968193_.png	C:/Users/Hugo/Desktop/limones/Amaz/images-eu.ssl-images-amazon.com/images/G/02/gno/sprites/timeline_sprite_1x._CB439968193_.png	(from https://www.amazon.co.uk/HP-15s-fq0024na-15-6-Inch-Laptop/dp/B083T1XB4B/ref=sr_1_9?dchild=1&keywords=laptop+15.6&qid=1585865478&sr=8-9)
00:12:50	1293908/1293908	---MCZ	200	added ('OK')	text/html	date:Thu,%2002%20Apr%202020%2022:12:48%20GMT	https://www.amazon.co.uk/HP-15s-fq0024na-15-6-Inch-Laptop/dp/B083T1XB4B/sp.load.js	C:/Users/Hugo/Desktop/limones/Amaz/www.amazon.co.uk/HP-15s-fq0024na-15-6-Inch-Laptop/dp/B083T1XB4B/sp.load.html	(from https://www.amazon.co.uk/HP-15s-fq0024na-15-6-Inch-Laptop/dp/B083T1XB4B/ref=sr_1_9?dchild=1&keywords=laptop+15.6&qid=1585865478&sr=8-9)
00:12:50	1293750/1293750	---MCZ	200	added ('OK')	text/html	date:Thu,%2002%20Apr%202020%2022:12:49%20GMT	https://www.amazon.co.uk/HP-15s-fq0024na-15-6-Inch-Laptop/dp/B083T1XB4B/@p/	C:/Users/Hugo/Desktop/limones/Amaz/www.amazon.co.uk/HP-15s-fq0024na-15-6-Inch-Laptop/dp/B083T1XB4B/@p/index.html	(from https://www.amazon.co.uk/HP-15s-fq0024na-15-6-Inch-Laptop/dp/B083T1XB4B/ref=sr_1_9?dchild=1&keywords=laptop+15.6&qid=1585865478&sr=8-9)
